ward_id,ward_name,area_sq_km,centroid_lat,centroid_lon,data_source,snapshot_date,license
163,SAFDARJANG ENCLAVE,3.6772,28.557352,77.195782,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
164,HAUZ KHAS,2.2942,28.554705,77.209605,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
165,VASANT VIHAR,5.7342,28.561463,77.158312,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
166,MUNIRKA,1.2119,28.557171,77.179422,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
167,R. K. PURAM,2.3001,28.567767,77.178575,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
168,NANAK PURA,3.2055,28.577578,77.167053,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
169,LADOSARAI,6.3962,28.523821,77.187959,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
17,SAMAYPUR BADLI,3.0704,28.738049,77.146006,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
170,MEHRAULI,2.9787,28.516906,77.186352,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
171,VASANTKUNJ,5.7012,28.539852,77.164411,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
172,KISHANGARH,22.4455,28.513274,77.133934,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
173,DEOLI,10.3846,28.497441,77.20528,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
174,CHHATARPUR,13.0926,28.494206,77.159876,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
175,AYA NAGAR,31.9147,28.451514,77.151565,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
176,BHATI,46.5166,28.446317,77.203955,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
177,SAID UL AJAIB,6.5211,28.472853,77.226634,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
178,SANGAM VIHAR,2.5652,28.483957,77.224622,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
179,TIGRI,2.0744,28.498214,77.229992,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
18,LIBAS PUR,6.0164,28.758473,77.143953,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
180,DAKSHINPURI EXT.,1.4079,28.525957,77.239111,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
181,KHANPUR,3.5,28.510015,77.223639,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
182,AMBEDKAR NAGAR,0.4965,28.516744,77.23335,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
183,MADANGIR,0.4936,28.520805,77.235675,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
184,PUSHP VIHAR,1.8173,28.524616,77.224978,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
185,TUGHLAKABAD EXTN,2.7573,28.51667,77.249311,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
186,SANGAM VIHAR WEST,2.7961,28.494237,77.245675,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
187,SANGAM VIHAR CENTRAL,1.7021,28.4927,77.251173,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
188,SANGAM VIHAR EAST,4.3979,28.501446,77.260491,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
189,CHIRAG DELHI,2.308,28.535203,77.235786,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
19,BHALSWA,3.5751,28.745253,77.161113,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
190,CHITRANJAN PARK,2.2797,28.533174,77.250754,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
191,SHAPUR JAT,4.3861,28.544815,77.22289,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
192,GREATER KAILASH-I,3.7374,28.552729,77.24262,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
193,SRI NIWASPURI,4.3264,28.559841,77.268084,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
194,EAST OF KAILASH,2.7741,28.550101,77.258749,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
195,GOVIND PURI,0.5238,28.531167,77.261309,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
196,KALKAJI,1.2268,28.538927,77.261211,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
197,TUGHLAKABAD,6.5808,28.514249,77.275667,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
198,PUL PEHLAD,2.967,28.496868,77.280256,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
199,TEKHAND,4.1697,28.519066,77.286867,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
2,BANKNER,21.1332,28.848559,77.070691,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
20,JAHANGIR PURI -II,0.756,28.733416,77.167759,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
200,HARKESH NAGAR,2.2902,28.540176,77.275814,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
201,JAITPUR,3.666,28.510428,77.32815,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
202,MEETHEYPUR,2.709,28.49735,77.323766,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
203,BADAR PUR,2.4592,28.503889,77.305133,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
204,MOLARBAND,1.444,28.495727,77.312371,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
205,ZAKIR NAGAR,2.7172,28.571907,77.278755,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
206,OKHLA,3.6959,28.55943,77.285348,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
207,MADANPUR KHADAR,8.2194,28.523684,77.319102,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
208,SARITA VIHAR,7.3557,28.537775,77.300246,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
209,MAYUR VIHAR PHASE-I,1.6605,28.605669,77.30155,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
21,ROHINI,4.8372,28.734577,77.113871,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
210,DALLOPURA,0.9152,28.608967,77.310846,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
211,TRILOK PURI,3.6367,28.596973,77.288804,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
212,NEW ASHOK NAGAR,1.6394,28.594312,77.30324,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
213,KALYAN PURI,0.4557,28.615695,77.315147,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
214,KHICHRIPUR,4.5711,28.611479,77.321666,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
215,KONDLI,1.566,28.610205,77.331288,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
216,GHAROLI,2.0385,28.617527,77.335865,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
217,VINOD NAGAR,0.896,28.622117,77.295311,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
218,MANDAWALI,0.9044,28.629136,77.294938,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
219,MAYUR VIHAR PHASE II,2.3325,28.618821,77.305828,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
22,RITHALA,2.0832,28.716718,77.107569,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
220,PATPARGANJ,1.5564,28.609302,77.290576,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
221,KISHAN KUNJ,1.3731,28.635776,77.271897,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
222,LAXMI NAGAR,0.918,28.637364,77.27952,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
223,SHAKARPUR,1.152,28.627619,77.284968,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
224,PANDAV NAGAR,1.7738,28.621313,77.278593,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
225,ANAND VIHAR,4.4003,28.657932,77.308528,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
226,VISHWASH NAGAR,1.2042,28.662498,77.294467,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
227,I.P EXTENTION,4.5282,28.635566,77.312542,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
228,PREET VIHAR,3.4967,28.64114,77.295371,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
229,KRISHNA  NAGAR,2.0436,28.65615,77.275405,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
23,BUDH VIHAR,2.2115,28.715624,77.086968,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
230,GEETA COLONY,1.2542,28.648434,77.273889,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
231,GHONDLI,1.0175,28.649606,77.282335,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
232,ANARKALI,0.8702,28.650238,77.28931,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
233,DHARAMPURA,1.155,28.668435,77.25877,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
234,GANDHI NAGAR,0.9899,28.662104,77.260055,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
235,AZAD NAGAR,0.8815,28.665544,77.2781,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
236,RAGHUBAR PURA,1.3016,28.667376,77.271447,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
237,SHAHDARA,0.8799,28.668687,77.286957,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
238,JHILMIL,1.213,28.669878,77.302801,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
239,VIVEK VIHAR,2.4092,28.674727,77.314446,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
24,VIJAY VIHAR,2.0921,28.708819,77.095546,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
240,DILSHAD COLONY,0.9641,28.681584,77.325933,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
241,DILSHAD GARDEN,2.1506,28.68495,77.309062,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
242,NEW SEEMA PURI,0.964,28.688394,77.324278,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
243,NAND NAGRI,0.618,28.694481,77.306285,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
244,SUNDER NAGARI,1.0539,28.695209,77.317331,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
245,DURGA PURI,0.9133,28.688242,77.298269,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
246,ASHOK NAGAR,0.94,28.69584,77.296403,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
247,RAM NAGAR,1.6398,28.677745,77.292433,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
248,WELCOME COLONY,1.2073,28.677559,77.280122,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
249,CHAUHAN BANGER,0.5875,28.681411,77.270858,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
25,POOTH KALAN,8.4683,28.71812,77.075138,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
250,ZAFFRABAD,0.4046,28.674535,77.266665,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
251,NEW USMANPUR,1.9523,28.678598,77.258412,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
252,MAUJPUR,0.753,28.689573,77.274922,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
253,BHAJANPURA,1.1722,28.697677,77.257367,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
254,BRAHAM PURI,1.0632,28.687587,77.257473,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
255,GHONDA,0.7806,28.690153,77.265758,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
256,YAMUNA VIHAR,1.3303,28.700135,77.271447,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
257,SUBHASH MOHALLA,0.5765,28.695448,77.272122,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
258,KARDAM PURI,1.4726,28.694376,77.286715,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
259,JANTA COLONY,0.6155,28.683531,77.279372,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
26,SAHIBABAD DAULAT PUR,13.2027,28.74769,77.095191,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
260,BABAR PUR,0.7108,28.686719,77.285577,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
261,JIWANPUR,1.6503,28.713112,77.282626,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
262,GOKALPUR,1.1836,28.705009,77.287994,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
263,SABOLI,1.8437,28.706586,77.305124,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
264,HARSH VIHAR,2.5361,28.705398,77.317897,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
265,SHIV VIHAR,1.7405,28.726007,77.279063,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
266,KARAWAL NAGAR EAST,1.2538,28.718886,77.272291,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
267,NEHRU VIHAR,0.1417,28.708465,77.263881,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
268,MUSTAFABAD,1.2883,28.709959,77.27017,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
269,KHAJOORI KHAS,1.1262,28.707337,77.25898,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
27,BEGUMPUR,46.5628,28.765128,77.022542,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
270,TUKHMIR PUR,0.4809,28.71461,77.261119,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
271,KARAWAL NAGAR WEST,2.0837,28.727641,77.265496,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
272,SONIA VIHAR,6.7782,28.731691,77.251064,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
28,BAWANA,56.5784,28.807891,77.009518,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
29,KARALA,37.7407,28.737747,77.000993,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
3,ALIPUR,49.0241,28.793529,77.102717,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
30,MUNDAKA,53.0234,28.687811,76.994837,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
31,NANGLOI JAT WEST,1.9274,28.684232,77.048024,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
32,NILOTHI,4.0294,28.670686,77.05398,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
33,PREM NAGAR,0.7889,28.705628,77.057015,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
34,NITHARI,5.6363,28.705109,77.03713,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
35,KIRARI SULEMAN NAGAR,2.9784,28.696636,77.057328,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
36,PRATAP VIHAR,1.1065,28.690266,77.049236,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
37,SULTANPURI  EAST,0.8144,28.697802,77.078124,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
38,MANGOL PURI  NORTH,0.5826,28.70015,77.087302,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
39,SULTANPUR MAJRA,0.669,28.697624,77.072356,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
4,BAKHTAWAR PUR,53.9519,28.82199,77.176175,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
40,SULTANPURI  SOUTH,0.8554,28.688717,77.070543,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
41,GURU HARKISHAN NAGAR,2.7753,28.666069,77.084966,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
42,PERAGHARHI,1.8728,28.679329,77.08568,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
