ward_id,ward_name,area_sq_km,centroid_lat,centroid_lon,data_source,snapshot_date,license,population_estimate_2020,population_density_per_sq_km,population_score,population_density_score,exposure_score,population_raster_valid_pixels,population_year,population_source,population_license,population_method
204,MOLARBAND,1.444,28.495727,77.312371,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,39412,27293.63,17.42,42.17,32.27,136,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
205,ZAKIR NAGAR,2.7172,28.571907,77.278755,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,38929,14326.88,17.1,17.34,17.24,271,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
206,OKHLA,3.6959,28.55943,77.285348,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,60364,16332.69,31.44,21.18,25.28,372,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
207,MADANPUR KHADAR,8.2194,28.523684,77.319102,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,92916,11304.47,53.21,11.56,28.22,804,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
208,SARITA VIHAR,7.3557,28.537775,77.300246,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,121549,16524.46,72.36,21.55,41.87,697,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
209,MAYUR VIHAR PHASE-I,1.6605,28.605669,77.30155,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,57298,34506.47,29.39,55.97,45.34,167,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
21,ROHINI,4.8372,28.734577,77.113871,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,96850,20021.91,55.84,28.24,39.28,480,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
210,DALLOPURA,0.9152,28.608967,77.310846,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,28096,30699.3,9.85,48.69,33.15,92,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
211,TRILOK PURI,3.6367,28.596973,77.288804,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,78736,21650.4,43.73,31.36,36.31,360,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
212,NEW ASHOK NAGAR,1.6394,28.594312,77.30324,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,50336,30703.92,24.73,48.69,39.11,156,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
